英文名,性别,音标,中文译名,来源,流行度
Jan,中性,['d&#658;&#230;n],简,希伯来语,无
Jane,女性,[d&#658;ein],简,希伯来语,无
Janet,女性,['d&#658;&#230;nit],珍妮特,希伯来语,无
Janetta,女性,[d&#658;&#601;'net&#601;],珍妮塔,英语,无
Janey,女性,['d&#658;eini],詹妮,英语,无
Janice,女性,['d&#658;&#230;nis],贾妮丝,希伯来语,无
Janie,女性,['d&#658;eini],詹妮,英语,无
January,中性,['d&#658;&#230;nju&#601;ri],贾纽厄里,拉丁语,★
Jaqueline,女性,['d&#658;&#230;kli:n],杰奎琳,希伯来语,无
Jared,男性,['d&#658;&#230;rid],贾莱德,希伯来语,无
Jarred,男性,['d&#658;a:rid],贾里德,英语,无
Jarrett,男性,['d&#658;&#230;rit],贾勒特,法语,★★
Jarrod,男性,['d&#658;a:r&#601;d],贾洛德,英语,无
Jarvis,男性,['d&#658;a:vis],贾维斯,英语,★★★
Jasmine,女性,['d&#658;&#230;smin],贾斯敏,英语,无
Jason,男性,['d&#658;eisn],贾森,希腊语,★
Jasper,男性,['d&#658;&#230;sp&#601;],贾斯珀,波斯语,★★
Jay,男性,[d&#658;ei],杰伊,拉丁语,★
Jayne,女性,[d&#658;ein],杰恩,印度语,★
Jean,中性,[d&#658;i:n],吉恩,希伯来语,★★
Jeanette,女性,[d&#658;&#601;'net],珍妮特,法语,无
Jeannette,女性,[d&#658;i'net],珍妮特,法语,无
Jeannie,女性,['d&#658;i:ni],珍妮,法语,无
Jed,男性,[d&#658;ed],杰德,阿拉伯语,无
Jeff,男性,[d&#658;ef],杰夫,英语,无
Jeffers,中性,['d&#658;ef&#601;z],杰弗斯,,★★
Jefferson,男性,['d&#658;ef&#601;sn],杰弗森；杰斐逊,英语,★★★
Jeffery,男性,['d&#658;efri],杰弗里,英语,★★
Jeffrey,男性,['d&#658;efri:],杰弗里,古德语,★★
Jeffries,中性,['d&#658;efriz],杰弗里斯,,★★
Jeffry,男性,['d&#658;efri],杰弗里,英语,无
Jen,女性,[d&#658;en],詹,康沃尔语,无
Jenifer,女性,,珍妮弗,凯尔特语,无
Jenkins,中性,['d&#658;e&#331;kinz],詹金斯,英语,★★★★
Jennie,女性,['d&#658;ini],詹妮,威尔士语,无
Jennifer,女性,['d&#658;enif&#601;],珍妮弗,威尔士语,无
Jennings,中性,[d&#658;eni&#331;z],詹宁斯,中世纪英语,★★★
Jenny,女性,['d&#658;eni],詹妮,英语，凯尔特语,无
Jensen,中性,['jensn],詹森,北欧,★★★
Jeremiah,男性,[.d&#658;eri'mai&#601;],杰里迈亚,希伯来语,无
Jeremy,男性,['d&#658;erimi],杰里米,希伯来语,无
Jerome,男性,[d&#658;&#601;'r&#601;um],杰罗姆,希腊语,★
Jerrold,男性,['d&#658;er&#601;ld],杰罗尔德,英语,无
Jerry,男性,['d&#658;eri],杰里,希伯来语,★
Jess,中性,[d&#658;es],杰斯；杰丝,希伯来语,无
Jesse,中性,['d&#658;esi],杰西,希伯来语,★
Jessica,女性,['d&#658;esik&#601;],杰西卡,希伯来语,无
Jessie,女性,['d&#658;esi],杰西,希伯来语,★
Jesus,男性,['d&#658;i:z&#601;z],杰西,希伯来语,★
Jewel,女性,['d&#658;u&#601;l],朱厄尔,拉丁语,无
Jewell,男性,['d&#658;u:&#601;lz],朱厄尔,法语,★★
Jill,女性,[d&#658;il],吉尔,拉丁语,无
Jillian,女性,['d&#658;ili&#601;n],吉利安,拉丁语,无
Jim,男性,[d&#658;im],吉姆,希伯来语,★
Jimenez,中性,"[hi'mene&#952;, hi'mein&#601;s]",希梅内斯,,★★★
Jimmie,男性,['d&#658;imi],吉米,英语,无
Jimmy,男性,['d&#658;imi],吉米,希伯来语,无
Jo,女性,[d&#658;&#601;u],乔,英语,★
Joan,女性,['d&#658;&#601;un],琼,希伯来语,无
Joann,女性,,乔安,希伯来语,无
Joanna,女性,[d&#658;&#601;u'&#230;n&#601;],乔安娜,希伯来语,无
Joanne,女性,[d&#658;&#601;u'&#230;n],乔安妮,希伯来语,无
Jocelyn,女性,['d&#658;&#596;slin],乔斯林，乔斯琳,拉丁语,无
Joe,男性,[d&#658;&#601;u],乔,希伯来语,★
Joel,男性,['d&#658;&#601;u&#601;l],乔尔,希伯来语,无
Joey,中性,['d&#658;&#601;ui],乔伊,希伯来语,无
Johanna,女性,[d&#658;&#601;u'h&#230;n&#601;],约翰娜,希伯来语,无
John,男性,[d&#658;&#596;n],约翰,希伯来语,★★
Johnnie,男性,['d&#658;&#596;ni],约翰尼,英语,无
Johnny,男性,['d&#658;&#596;ni],约翰尼,希伯来语,无
Johns,中性,[d&#658;&#596;nz],约翰斯,英语,★★★
Johnson,男性,['d&#658;&#596;nsn],约翰逊,古英语,★★★★★
Johnston,中性,['d&#658;&#596;nst&#601;n],约翰斯顿,苏格兰语,★★★★
Joie,女性,[d&#658;&#596;i],乔伊,法语,无
Joiner,中性,['d&#658;&#596;in&#601;],乔伊纳,古法语,★★
Jolly,中性,['d&#658;&#596;li],乔利,中世纪英语，古法语,★★
Jon,男性,[d&#658;&#596;n],乔恩,希伯来语,无
Jonah,男性,['d&#658;&#601;un&#601;],乔纳,希伯来语,无
Jonas,男性,['d&#658;&#601;un&#601;s],乔纳斯,希伯来语,★
Jonathan,男性,['d&#658;&#596;n&#601;&#952;&#601;n],乔纳森,希伯来语,无
Jone,女性,[d&#658;&#596;:],乔恩,希伯来语,★
Jones,中性,[d&#658;&#601;unz],琼斯,中世纪英语,★★★★★
Jordan,中性,['d&#658;&#596;:dn],乔丹,希伯来语,★★★★
Jordon,男性,['d&#658;&#596;:d&#601;n],乔登,法语,★★
Jose,男性,[d&#658;&#601;uz],何塞,西班牙语,★
Joseph,男性,['d&#658;&#601;uzif],约瑟夫,希伯来语,★★★
Josephine,女性,['d&#658;&#601;uzifi:n],约瑟芬,希伯来语,无
Josh,男性,[d&#658;&#596;&#643;],乔希,希伯来语,无
Joshua,男性,['d&#658;&#596;&#643;w&#601;],乔舒亚,希伯来语,★
Josiah,男性,[d&#658;&#601;u'sai&#601;],约西亚,希伯来语,无
Josie,女性,['d&#658;&#601;uzi],乔西,英语,无
Kaley,女性,['keili],凯莉,凯尔特语,无
Kali,女性,['k&#593;:li],凯莉,梵文,无
Kane,男性,[kein],凯恩,爱尔兰语，盖尔语，凯尔特语,★★★
Karan,女性,['k&#230;r&#601;n],卡伦,希腊语,无
Karen,女性,['k&#593;:r&#601;n],卡伦,希腊语，丹麦语,无
Karin,女性,['ka:rin],卡琳,希腊语，瑞典语,无
Karl,男性,[ka:l],卡尔,希腊语,★
Karla,女性,['ka:l&#601;],卡拉,希腊语,无
Karol,女性,['k&#230;r&#601;l],卡罗尔,英语,无
Kate,女性,[keit],凯特,希腊语,无
Katharine,女性,['k&#230;&#952;&#601;rin],凯瑟琳,希腊语,无
Katherine,女性,[k&#230;&#240;&#601;rin],凯瑟琳,希腊语,无
Kathie,女性,['k&#230;&#952;i],凯西,英语,无
Kathleen,女性,['k&#230;&#952;li:n],凯瑟琳,希腊语,无
Kathryn,女性,['k&#230;&#952;rin],凯瑟琳,英语,无
Kathy,女性,['k&#230;&#952;i],凯西,凯尔特语,无
Katie,女性,['keiti],凯蒂,希腊语,无
Katrina,女性,[k&#601;'tri:n&#601;],卡特丽娜,希腊语,无
Katy,女性,['keiti],凯蒂,凯尔特语,无
Katz,中性,[k&#230;ts],卡茨,,★★
Kay,女性,[kei],凯,古英语,★★
Kaye,女性,[kei],凯,英语,★
Kearney,男性,['ka:ni],卡尼,盖尔语,★★
Kearns,中性,[k&#604;:nz],卡恩斯,盖尔语,★★
Keeley,男性,['ki:li],基利,爱尔兰语,★
Keely,女性,['ki:li],基利,凯尔特语,无
Keen,男性,[ki:n],基恩,中世纪英语,★★
Keene,中性,[ki:n],基恩,凯尔特语,★★
Keith,男性,[ki:&#952;],基思,苏格兰语,★★★
Keller,中性,['kel&#601;],凯勒,盖尔语,★★★
Kelley,女性,['keli],凯利,盖尔语,★★★★
Kellogg,中性,['kel&#596;g],凯洛格,中世纪英语,★★
Kelly,中性,['keli],凯利,爱尔兰语，盖尔语,★★★★
Kelsey,中性,['kelsi],凯尔西,古英语,★★
Kelvin,男性,['kelvin],凯尔文,凯尔特语,无
Kemp,男性,[kemp],肯普,中世纪英语,★★★
Ken,男性,[ken],肯,凯尔特语,无
Kendal,男性,['kend&#601;l],肯德尔,凯尔特语,无
Kendall,中性,['kendl],肯德尔,古英语，凯尔特语,★★
Kendrick,男性,['kendrik],肯德里克,威尔士语,★★
Kenna,女性,['ken&#601;],肯纳,凯尔特语,无
Kennedy,男性,['kenidi],肯尼迪,盖尔语,★★★★
Kenneth,男性,['keni&#952;],肯尼思,凯尔特语,无
Kenney,男性,['keni],肯尼,苏格兰语,★★
Kenny,男性,['keni],肯尼,盖尔语,★★
Kent,男性,[kent],肯特,英语,★★★
Kenton,男性,['kentn],肯顿,古英语,无
Kenyatta,男性,[ken'ja:t&#601;],肯雅塔,,无
Kermit,男性,['k&#604;:mit],克米特,凯尔特语,无
Kern,男性,[k&#601;:n],克恩,盖尔语,★★
Kerr,男性,[k&#601;:],克尔,斯堪的那维亚语,★★★
Kerry,中性,['keri],克里,凯尔特语,无
Kevin,男性,['kevin],凯文,凯尔特语,无
Key,男性,[ki:],基,盖尔语,★★★
Keyes,中性,[ki:z],基斯,盖尔语,★★
Keys,中性,[ki:z],基斯,爱尔兰语,★★
Khan,中性,[ka:n],汗,土耳其语,★★
Kidd,中性,[kid],基德,中世纪英语,★★
Kimber,中性,['kimb&#601;],金伯,古英语,★
Kimberley,女性,['kimb&#601;li],金伯利,古英语,无
Kimberly,女性,['kimb&#601;li],金伯利,古英语,无
Kimbrough,女性,['kimbr&#601;],金布罗,英语,★★
Kincaid,男性,[kin'keid],金凯德,盖尔语,★★
King,男性,[ki&#331;],金,古英语,★★★★★
Kinney,中性,['kini],金尼,苏格兰语,★★★
Kinsey,男性,['kinzi],金西,古英语,★★
Kirby,男性,['k&#604;:bi],柯比,古诺斯语,★★★
Kirk,男性,[k&#601;:k],柯克,古诺斯语，古德语,★★★
Kirkland,男性,['k&#604;:kl&#601;nd],柯克兰,古英语,★★
Kirkpatrick,中性,[k&#604;:k'p&#230;trik],柯克帕特里克,英语,★★
Kirsten,女性,['k&#601;:st&#601;n],柯尔斯顿,希腊语,无
Kit,男性,[kit],基特,英语,无
Kitchen,中性,['kit&#643;in],基钦,古英语,★★
Kittie,女性,['kiti],基蒂,英语,无
Kitty,女性,['kiti],基蒂,希腊语,无
Klein,男性,[kl&#601;in],克莱因,古德语,★★★
Knapp,中性,[n&#230;p],纳普,古英语,★★★
Knight,男性,[nait],奈特,中世纪英语,★★★★
Knowles,中性,[n&#601;ulz],诺尔斯,中世纪英语,★★
Knox,男性,[n&#596;ks],诺克斯,古英语,★★★
Koch,中性,[k&#596;k],科赫,,★★★
Kohler,中性,['k&#604;:l&#601;],克勒,,★★
Krishna,未知,['kri&#643;n&#601;],克利须那,,无
Kuhn,中性,[ku:n],库恩,,★★
Kyle,中性,[kail],凯尔,盖尔语,★★
Lacey,女性,['leisi],莱西,高卢语,★★
Lacy,男性,['leisi],莱西,古法语,★★
Ladd,男性,['l&#230;d],拉德,中世纪英语,★★
Laird,男性,[l&#603;&#601;d],莱尔德,中世纪英语,★★
Lake,中性,[leik],莱克,拉丁语,★★
Lamb,中性,[l&#230;m],拉姆,古英语,★★★
Lambert,男性,['l&#230;mb&#601;t],兰伯特,德语,★★★
Lamont,男性,['l&#230;m&#601;nt],拉蒙特,古诺斯语,★
Lana,女性,['l&#230;n&#601;],拉娜,希腊语,无
Lancaster,中性,['l&#230;&#331;k&#601;st&#601;],兰卡斯特,古英语,★★
Lance,男性,[l&#230;ns],兰斯,日耳曼语,★★
Land,中性,[l&#230;nd],兰德,古英语,★★
Lane,中性,[lein],莱恩,中世纪英语,★★★★
Lang,男性,[l&#230;&#331;],兰格,斯堪的那维亚语,★★★
Lange,男性,['l&#230;&#331;&#601;],兰格,盎格鲁-撒克逊语,★★
Langford,中性,['l&#230;&#331;f&#601;d],兰福德,古英语,★★
Langley,中性,['l&#230;&#331;li],兰利,古英语,★★
Langston,男性,['l&#230;&#331;st&#601;n],兰斯顿,古英语,★★
Lanny,男性,['l&#230;ni],兰尼,英语,无
Lara,女性,['l&#230;r&#601;],拉腊,拉丁语,★★★
Larkin,男性,['la:kin],拉金,盖尔语,★★
Larry,男性,['l&#230;ri],拉里,拉丁语,★
Larson,男性,['la:sn],拉森,斯堪的纳维亚语,★★★
Lassiter,中性,['l&#230;sit&#601;],拉西特,英语,★★
Latham,男性,['lei&#952;&#601;m],莱瑟姆,斯堪的纳维亚语,★★
Latonia,女性,[l&#601;'t&#601;un&#601;],拉托娜,拉丁语,无
Laura,女性,['l&#596;:r&#601;],劳拉,拉丁语,无
Laurel,女性,['l&#596;r&#601;l],劳雷尔；劳蕾尔,拉丁语,无
Lauren,女性,['l&#596;:r&#601;n],劳伦,拉丁语,无
Laurence,男性,['l&#596;r&#601;ns],劳伦斯,拉丁语,★
Lauretta,女性,[l&#596;:'ret&#601;],劳雷塔,英语,无
Laurie,中性,['l&#596;:ri],劳里,拉丁语,★
Laurinda,女性,[l&#596;'rind&#601;],劳琳达,拉丁语,无
Lavelle,中性,['l&#230;vil],拉韦尔,盖尔语,★
Laverne,女性,[l&#601;'v&#604;:n],拉弗恩,法语,无
Lavinia,女性,[l&#601;'vini&#601;],拉维尼亚,拉丁语,无
Law,中性,[l&#596;:],劳,古英语,★★
Lawler,男性,['l&#596;:l&#601;],劳勒,盖尔语,★★
Lawrence,男性,['l&#596;r&#601;ns],劳伦斯,拉丁语,★★★★
Laws,中性,[l&#596;:z],劳斯,英语,★★
Lawson,中性,['l&#596;:sn],劳森,古英语,★★★★
Lay,男性,[lei],莱,英语,★★
Layne,男性,[lein],莱恩,英语,★★
Layton,男性,['leitn],莱顿,古英语,★★
Lea,女性,[li:],利；莉,希伯来语,★
Leach,中性,[li:t&#643;],利奇,古英语,★★★
Leah,女性,[li&#601;],利亚,希伯来语,无
Leal,男性,['li:l],利尔,西班牙语、葡萄牙语,★★
Lean,男性,[li:n],利恩,中世纪英语,无
Leary,中性,['li:ri],利里,爱尔兰语,★★
Leda,女性,['li:d&#601;],莉达,希腊语,无
Ledbetter,中性,['led.bet&#601;],莱德贝特,英语,★★
Lee,中性,[li:],李,古英语,★★★★★
Leif,男性,['li:f],利夫,斯堪的纳维亚语,无
Leigh,中性,[li:],利；莉,古英语,★
Leila,女性,['li:l&#601;],莉拉,阿拉伯语,无
Leilani,女性,[li:'l&#230;ni],莉兰妮,夏威夷语,无
Leland,男性,['li:l&#601;nd],利兰,古英语,★
Lemon,中性,['lem&#601;n],莱蒙,古英语,★★
Lemuel,男性,['lemju&#601;l],莱缪尔,希伯来语,无
Len,男性,[len],莱恩,条顿语,无
Lena,女性,['li:n&#601;],莉娜,希腊语,无
Lenard,男性,['lein&#593;:t],伦纳德,法语,★
Lennie,男性,['leni],伦尼,盖尔语,无
Lenny,男性,['leni],伦尼,英语,无
Lenora,女性,[l&#601;'n&#596;:r&#601;],勒诺拉,英语,无
Lenore,女性,[l&#601;'n&#596;:],勒诺,希腊语,无
Leo,男性,['li(:)&#601;u],利奥,拉丁语,★
Leon,男性,[lei'&#601;un],利昂；列夫,拉丁语,★★★
Leonard,男性,['len&#601;d],伦纳德,古德语,★★★
Leonie,女性,['li:&#601;ni],莉奥妮,希腊语,无
Leonora,女性,[.li:&#601;'n&#596;:r&#601;],莉奥诺拉,希腊语,无
Leonore,女性,['li:&#601;n&#596;:],莉奥诺,法语,无
Leroy,男性,[l&#601;'r&#596;i],勒罗伊,古法语,★
Les,男性,[lez],莱斯,英语,无
Lesley,中性,['lesli],莱斯利，莱斯莉,凯尔特语,★
Leslie,中性,['lezli],莱斯利,盖尔语,★★
Lester,男性,['lest&#601;],莱斯特,拉丁语,★★★
Letitia,女性,[li't&#643;i&#601;],莉蒂希娅,拉丁语,无
Lettie,女性,['leti],莱蒂,拉丁语,无
Letty,女性,['leti],莱蒂,拉丁语,无
Levi,男性,['li:vai],利瓦伊,希伯来语,★
Levy,中性,['levi],利维,中世纪英语，古英语,★★★
Lewis,男性,['lu:is],刘易斯,德语,★★★★★
Libby,女性,['libi],利比；莉比,英语，希伯来语,★★
Light,中性,[lait],莱特,古英语,★★
Lili,女性,['lili],莉莉,法语,无
Lilian,中性,['lili&#601;n],莉莲,英语,无
Lillian,女性,['lili&#601;n],莉莲,拉丁语,无
Lillie,女性,['lili:],利利,英语,★
Lilly,女性,['lili],利利,英语,★★
Lily,女性,['lili],莉莉,拉丁语,无
Lina,女性,['li:n&#601;],莉娜,阿拉伯语,无
Lincoln,男性,['li&#331;k&#601;n],林肯,拉丁语,★★
Lind,男性,[lind],林德,英语,★★
Linda,女性,['lind&#601;],琳达,西班牙语,无
Lindsay,中性,['linzi],林赛,古英语,★★
Lindy,女性,['lindi],琳迪,英语,无
Ling,中性,[li&#331;],林,古英语,★
Link,男性,[li&#331;k],林克,英语,★★
Linn,女性,[lin],林,古英语,★★
Linsey,女性,['linzi],林赛,英语,无
Lionel,男性,['lai&#601;nl],莱昂内尔,拉丁语,无
Lipscomb,中性,['lipsk&#601;m],利普斯科姆,,★★
Lisa,女性,['li:z&#601;],莉萨,英语,无
Mabel,女性,['m&#230;b&#601;l],梅布尔,英语,无
Mac,男性,[m&#230;k],麦克,凯尔特语,无
MacDonald,男性,[m&#601;k'd&#596;n&#601;ld],麦克唐纳,苏格兰语,★★★
Mack,男性,[m&#230;k],麦克,凯尔特语,★★★
Macy,女性,['meisi],梅西,法语,★
Madden,中性,[m&#230;dn],马登,爱尔兰语,★★
Maddox,男性,['m&#230;d&#601;ks],马多克斯,盎格鲁威尔士语,★★★
Madeleine,女性,['m&#230;d&#601;lin],马德琳,希伯来语,无
Madeline,女性,['m&#230;dlin],玛德林,希伯来语,无
Madge,女性,[m&#230;d&#658;],玛奇,希腊语,无
Madison,中性,['m&#230;disn],麦迪逊,英语,★★
Madonna,女性,[m&#601;'d&#596;n&#601;],麦当娜,拉丁语,无
Mae,女性,[mei],梅,英语,无
Magda,女性,['m&#230;gd&#601;],玛格达,德语,无
Magdalen,女性,['m&#230;gd&#601;lin],玛格德琳,希伯来语,无
Magee,男性,[m&#601;'gi:],马吉,爱尔兰语,★★
Maggie,女性,['m&#230;gi],玛吉,希腊语,无
Magnolia,女性,[m&#230;g'n&#601;uli&#601;],玛格诺莉娅,拉丁语,无
Mahoney,男性,['ma:&#601;ni],马奥尼,爱尔兰语,★★
Maisie,女性,['meizi],梅奇,英语,无
Major,男性,['meid&#658;&#601;],梅杰,拉丁语,★★
Malcolm,男性,['m&#230;lk&#601;m],马尔科姆,凯尔特语,★★
Malcom,男性,['m&#230;lk&#601;m],马尔科姆,英语,★
Mallory,女性,['m&#230;l&#601;ri],马洛里,古法语,★★
Malloy,男性,['m&#230;l&#601;ri],马洛伊,爱尔兰语,★★
Malone,中性,[m&#601;'l&#601;un],马隆,爱尔兰语,★★★
Maloney,男性,[m&#601;'l&#601;uni],马洛尼,盖尔语,★★
Malvina,女性,[m&#230;l'vi:n&#601;],马尔维纳,盖尔语,无
Mamie,女性,['meimi],梅米,英语,无
Man,中性,[m&#230;n],曼,英语,★
Mandy,女性,['m&#230;ndi],曼迪,拉丁语,无
Manley,男性,['m&#230;nli:],曼利,古英语,★★
Mann,男性,[m&#230;n],曼,日耳曼语,★★★
Manning,中性,['m&#230;ni&#331;],曼宁,古英语,★★★
Mansfield,男性,['m&#230;nz.fi:ld],曼斯菲尔德,古英语,★★
Manuel,男性,['m&#230;njuel],曼纽尔,西班牙语,★★
Maple,中性,['meipl],梅普尔,古英语,★
Marcella,女性,[ma:'sel&#601;],玛塞拉,拉丁语,无
Marcellus,男性,[ma:'sel&#601;s],马塞勒斯,拉丁语,★
Marcia,女性,['ma:sj&#601;],玛西亚,拉丁语,无
Marcos,中性,['ma:k&#601;us],马科斯,葡萄牙语,★
Marcus,男性,['ma:k&#601;s],马库斯,拉丁语,★★
Margaret,女性,['ma:g&#601;rit],玛格丽特,希腊语,无
Marge,女性,[ma:d&#658;],玛吉,英语,无
Margery,女性,['ma:d&#658;&#601;ri],玛杰丽,法语,无
Margie,女性,['ma:d&#658;i],玛吉,波斯语,无
Margot,女性,['ma:g&#601;u],玛格,希腊语,无
Marguerite,女性,[.ma:g&#601;'ri:t],玛格丽特,法语,无
Maria,女性,[m&#601;'ri:&#601;],玛丽亚,希伯来语,★
Marian,女性,['m&#603;&#601;ri&#601;n],玛丽安,法语,无
Mariana,女性,['m&#603;&#601;ri'&#230;n&#601;],玛丽安娜,拉丁语,无
Marianne,女性,[.m&#230;ri'&#230;n],玛丽安妮,法语,无
Marie,女性,['m&#593;:ri(:)],玛丽,希伯拉语,★
Marietta,女性,[m&#603;&#601;ri'et&#601;],玛丽埃塔,希伯来语,无
Marilyn,女性,['m&#230;r&#601;lin],玛丽琳,英语,无
Marin,女性,['m&#230;rin],马林,拉丁语,★★
Marina,女性,[m&#601;'ri:n&#601;],玛丽娜,拉丁语,无
Mario,男性,['m&#230;ri&#601;u],马里奥,拉丁语,无
Marion,中性,['m&#603;&#601;ri&#601;n],玛丽恩；马里恩,英语,★★
Marjorie,女性,['ma:d&#658;&#601;ri],玛乔丽,法语,无
Marjory,女性,['ma:d&#658;&#601;ri],玛乔丽,希腊语,无
Mark,男性,[m&#593;:k],马克,拉丁语,★★
Marks,中性,[ma:ks],马克斯,古英语,★★★
Marlene,女性,['m&#593;:li:n],玛琳,德语,无
Marlin,男性,['ma:lin],马林；玛莲,英语,★
Marnie,女性,['ma:ni],马尼,拉丁语或希腊语,无
Marquez,中性,[ma:'keiz],马尔克斯,,★★★
Marquis,男性,['ma:kwis],马奎斯,古法语,★★
Marsh,男性,[ma:&#643;],马什,古英语,★★★
Marshall,男性,['m&#593;:&#643;&#601;l],马歇尔,古法语,★★★★
Martha,女性,['m&#593;:&#952;&#601;],玛莎,阿拉姆语,无
Martin,男性,['ma:tin],马丁,拉丁语,★★★★★
Martinez,中性,[ma:'ti:n&#601;s],马丁内斯,,★★★★★
Marvel,女性,['ma:v&#601;l],马弗尔,拉丁语,★
Marvin,男性,['ma:vin],马文,日耳曼语,★★
Marx,中性,[ma:ks],马克思,德语,★★
Mary,女性,['m&#603;&#601;ri],玛丽,希伯来语,★
Mason,男性,['meisn],梅森,古法语,★★★★
Massey,中性,['m&#230;si:],马西,,★★★
Masters,中性,['ma:st&#601;z],马斯特斯,英语,★★
Mathew,男性,['m&#230;&#952;ju:],马修,英语,★
Mathews,男性,['m&#230;&#952;ju:z],马修斯,希伯来语,★★★
Mathilda,女性,[m&#601;'tild&#601;],玛蒂尔达,古德语,无
Mathis,中性,['m&#230;&#952;iz],马西斯,,★★★
Matilda,女性,[m&#601;'ti:ld&#601;],玛蒂尔达,古德语,无
Matson,中性,['m&#230;tsn],马特森,英语,★★
Matt,男性,[m&#230;t],马特,希伯来语,★
Matthew,男性,['m&#230;&#952;ju:],马修,希伯来语,★★
Matthews,中性,['m&#230;&#952;ju:z],马修斯,英语,★★★★
Mattie,中性,['m&#230;ti],玛蒂；马蒂,阿拉姆语,无
Maud,女性,[m&#596;d],莫德,法语,无
Maude,女性,,莫德,德语、法语或希伯来语,无
Maura,女性,['m&#596;:r&#601;],莫拉,拉丁语,无
Maureen,女性,['m&#596;:ri:n],莫琳,盖尔语,无
Maurice,男性,[m&#596;:ris],莫里斯,拉丁语,★
Mavis,女性,['meivis],梅维丝,凯尔特语，古法语,无
Max,男性,[m&#230;ks],马克斯,拉丁语,★
Maxine,女性,[m&#230;k'si:n],玛克辛,拉丁语,无
Maxwell,男性,['maksw&#601;l],马克斯韦尔,古英语,★★★
May,女性,[mei],梅,拉丁语,★★★
Maye,中性,[mei],梅,英语,★
Mayer,男性,['mei&#601;],迈耶,日耳曼语,★★★
Mayes,中性,[meiz],梅斯,英语,★★
Mayfield,男性,['meifi:ld],梅菲尔德,古英语,★★
Maynard,男性,['mein&#601;d],梅纳德,日耳曼语,★★★
Nadine,女性,[nei'di:n],娜丁,法语,无
Nan,女性,[n&#230;n],南,希伯来语,无
Nana,女性,[n&#230;n&#601;],内娜,夏威夷语,无
Nance,中性,[n&#230;ns],南斯,英语,★★
Nancy,女性,['n&#230;nsi],南希,英语,无
Nanette,女性,[n&#601;'net],南内特,英语,无
Nannie,女性,['n&#230;ni],南妮,希伯来语,无
Naomi,女性,['nei&#601;mi],娜奥米,希伯来语,无
Napier,中性,['neipi&#601;],内皮尔,苏格兰语,★★
Napoleon,男性,[n&#601;'p&#601;ulj&#601;n],拿破仑,希腊语,★
Nash,男性,[n&#230;&#643;],纳什,古英语,★★★
Natalia,女性,[n&#601;'t&#230;lj&#601;],纳塔利,拉丁语,无
Natalie,女性,['n&#230;t&#601;li],娜塔丽,法语,无
Nathalie,女性,['n&#230;&#952;&#601;li],纳瑟莉,拉丁语,无
Nathan,男性,['nei&#952;&#601;n],内森,希伯来语,★
Nathanael,男性,[n&#601;'&#952;&#230;nj&#601;l],纳撒内尔,英语,无
Nathaniel,男性,[n&#601;'&#952;&#230;nj&#601;],纳撒尼尔,希伯来语,★
Naylor,男性,['neil&#601;],内勒,中世纪英语，古英语,★★
Neal,男性,[ni:l],尼尔,凯尔特语，爱尔兰语,★★★
Ned,男性,[ned],内德,英语,无
Neely,男性,['ni:li],尼利,英语,★★
Neil,男性,['ni:l],尼尔,盖尔语,★★
Nell,女性,[nel],内尔,希腊语,★
Nellie,女性,['neli],内莉,英语,无
Nelly,女性,['neli],妮莉,英语,无
Nelson,男性,['nelsn],纳尔逊,凯尔特语,★★★★
Nesbitt,中性,['nezbit],内斯比特,英语,★★
Nestor,男性,['nest&#596;:],内斯特,希腊语,★
Nettie,女性,['neti],内蒂,条顿语,无
Neville,男性,['nevil],内维尔,古法语,★★
Newby,中性,['nju:bi],纽比,中世纪英语,★★
Newell,男性,['nju:&#601;l],纽厄尔,古英语,★★
Newman,男性,['nju:m&#601;n],纽曼,古英语,★★★
Newsome,中性,['nju:s&#601;m],纽瑟姆,古英语,★★
Newton,男性,['nju:tn],牛顿,古英语,★★★
Nichol,男性,['nikl],尼科尔,法语,★
Nicholas,男性,['nik&#601;l&#601;s],尼古拉斯,希腊语,★★
Nichols,中性,['nik&#601;lz],尼科尔斯,英语,★★★★
Nicholson,中性,['nik&#601;lsn],尼科尔森,英语,★★★
Nick,男性,[nik],尼克,英语,★
Nickerson,中性,['nik&#601;sn],尼克森,,★★
Nicol,男性,['nikl],尼科尔,英语,★
Nicola,女性,['nik&#601;l&#601;],尼古拉,法语,无
Nicolas,男性,['nik&#601;l&#601;s],尼古拉斯,圣经,★
Nicole,女性,[ni'k&#601;ul],妮可,希腊语,无
Nicolette,女性,[.nik&#601;'let],尼科莱特,法语,无
Nicolle,男性,[ni:'k&#596;:l],尼科尔,,无
Nielsen,中性,['nils&#601;n],尼尔森,丹麦语,★★★
Nigel,男性,['naid&#658;&#601;l],奈杰尔,拉丁语,无
Nina,女性,['ni:n&#601;],妮娜,希伯来语,无
Nita,女性,['ni:t&#601;],尼塔,西班牙语,无
Nix,中性,[niks],尼克斯,英语,★★
Nixon,男性,['niksn],尼克松,古英语,★★★
Noah,女性,['n&#601;u&#601;],诺亚,希伯来语,★
Noble,男性,['n&#601;ubl],诺布尔,拉丁语,★★★
Noe,中性,['n&#601;u&#601;],诺埃,希伯来语,★★
Noel,中性,['n&#601;u&#601;l],诺埃尔,古法语,★★
Nola,女性,['n&#601;ul&#601;],诺拉,凯尔特语,无
Nolan,男性,['n&#601;ul&#601;n],诺兰,盖尔语,★★★
